name,LION
PC(37:6),LION:0041281
PC(37:7),LION:0041282
PC(33:5),LION:0041283
PC(35:6),LION:0041314
PC(39:0),LION:0041315
PC(39:1),LION:0041324
PC(39:2),LION:0041325
PC(39:3),LION:0041333
PC(39:4),LION:0041334
PC(39:5),LION:0041335
PC(39:6),LION:0041336
PC(39:7),LION:0041337
PC(39:8),LION:0041338
PC(41:0),LION:0041339
PC(41:1),LION:0041340
PC(41:2),LION:0041341
PC(41:3),LION:0041344
PC(41:4),LION:0041345
PC(41:5),LION:0041352
PC(41:6),LION:0041353
PC(41:7),LION:0041358
PC(41:8),LION:0041362
PC(43:0),LION:0041363
PC(43:1),LION:0041368
PC(43:2),LION:0041369
PC(43:3),LION:0041373
PC(43:4),LION:0041374
PC(43:5),LION:0041375
PC(43:6),LION:0041376
PC(43:7),LION:0041377
PC(43:8),LION:0041378
PC(43:9),LION:0041379
PC(43:10),LION:0041380
PC(45:0),LION:0041388
PC(45:1),LION:0041389
PC(45:2),LION:0041398
PC(45:3),LION:0041399
PC(45:4),LION:0041409
PC(45:5),LION:0041410
PC(45:6),LION:0041416
PC(45:7),LION:0041420
PC(45:8),LION:0041421
PC(45:9),LION:0041426
PC(41:9),LION:0041431
PC(45:10),LION:0041432
PC(45:11),LION:0041436
PC(45:12),LION:0041437
PC(47:0),LION:0041438
PC(47:1),LION:0041439
PC(47:2),LION:0041440
PC(47:3),LION:0041441
PC(47:4),LION:0041442
PC(47:5),LION:0041443
PC(47:6),LION:0041444
PC(47:7),LION:0041445
PC(47:8),LION:0041446
PC(47:9),LION:0041452
PC(47:10),LION:0041453
PC(47:11),LION:0041459
PC(47:12),LION:0041460
PC(47:13),LION:0041464
PC(49:0),LION:0041465
PC(49:1),LION:0041466
PC(49:2),LION:0041467
PC(49:3),LION:0041470
PC(49:4),LION:0041471
PC(49:5),LION:0041472
PC(49:6),LION:0041473
PC(49:7),LION:0041476
PC(49:8),LION:0041477
PC(49:9),LION:0041487
PC(49:10),LION:0041488
PC(49:11),LION:0041496
PC(49:12),LION:0041497
PC(50:0),LION:0041503
PC(50:1),LION:0041508
PC(50:2),LION:0041509
